profile,cve,lang,exit,verdict,seconds
1-3-1,71504,py,1,ERR,0.0
1-3-1,71504,sh,1,ERR,0.0
1-3-1,71504,php,1,ERR,0.0
1-3-1,71506,py,1,ERR,0.0
1-3-1,71506,sh,1,ERR,0.0
1-3-1,71506,php,1,ERR,0.0
1-3-1,71505,py,0,VULN,0.4
1-3-1,71505,sh,0,VULN,0.5
1-3-1,71505,php,0,VULN,0.4
1-3-1,71510,py,2,SAFE,0.1
1-3-1,71510,sh,2,SAFE,0.1
1-3-1,71510,php,2,SAFE,0.1
0-0-0,71504,py,1,ERR,0.0
0-0-0,71504,sh,1,ERR,0.0
0-0-0,71504,php,1,ERR,0.0
0-0-0,71506,py,1,ERR,0.0
0-0-0,71506,sh,1,ERR,0.0
0-0-0,71506,php,1,ERR,0.0
0-0-0,71505,py,0,VULN,0.4
0-0-0,71505,sh,0,VULN,0.5
0-0-0,71505,php,0,VULN,0.4
0-0-0,71510,py,2,SAFE,0.1
0-0-0,71510,sh,2,SAFE,0.1
0-0-0,71510,php,2,SAFE,0.1
1-1-1,71504,py,1,ERR,0.0
1-1-1,71504,sh,1,ERR,0.0
1-1-1,71504,php,1,ERR,0.0
1-1-1,71506,py,1,ERR,0.0
1-1-1,71506,sh,1,ERR,0.0
1-1-1,71506,php,1,ERR,0.0
1-1-1,71505,py,0,VULN,0.4
1-1-1,71505,sh,0,VULN,0.5
1-1-1,71505,php,0,VULN,0.4
1-1-1,71510,py,2,SAFE,0.1
1-1-1,71510,sh,2,SAFE,0.1
1-1-1,71510,php,2,SAFE,0.1
